iteration,n_candidates,reward_time_ms,total_time_ms
53,1367,1729.1626930236816,1843.3701992034912
54,1366,1726.517677307129,1841.3476943969727
55,1365,1731.7750453948975,1840.5544757843018
56,1364,1743.0975437164307,1863.1153106689453
57,1363,1726.8869876861572,1835.7090950012207
58,1362,1744.7996139526367,1869.5068359375
59,1361,1725.2764701843262,1833.1985473632812
60,1360,1751.1200904846191,1865.8370971679688
61,1359,1725.3892421722412,1834.3472480773926
62,1358,1748.3115196228027,1867.9780960083008
63,1357,1727.23388671875,1835.4673385620117
64,1356,1721.8255996704102,1836.4667892456055
65,1355,1717.5734043121338,1831.0472965240479
66,1354,1714.8313522338867,1832.737922668457
67,1353,1729.1123867034912,1842.223882675171
68,1352,1753.4263134002686,1868.1747913360596
69,1351,1712.040901184082,1820.0106620788574
70,1350,1729.5253276824951,1843.7814712524414
71,1349,1718.4984683990479,1825.075626373291
72,1348,1717.9477214813232,1836.1034393310547
73,1347,1716.691255569458,1823.3494758605957
74,1346,1724.7915267944336,1840.4135704040527
75,1345,1706.9091796875,1816.8087005615234
76,1344,1712.0380401611328,1825.321912765503
77,1343,1715.6856060028076,1822.413444519043
78,1342,1731.907844543457,1845.8070755004883
79,1341,1703.6850452423096,1811.159372329712
80,1340,1702.711582183838,1820.0039863586426
81,1339,1690.5121803283691,1799.229383468628
82,1338,1700.3731727600098,1814.4261837005615
83,1337,1692.6026344299316,1798.7086772918701
84,1336,1728.8892269134521,1841.7503833770752
85,1335,1708.9626789093018,1819.6642398834229
86,1334,1690.0653839111328,1801.9380569458008
87,1333,1698.6775398254395,1808.600902557373
88,1332,1687.2341632843018,1800.999641418457
89,1331,1689.3978118896484,1796.4684963226318
90,1330,1717.207908630371,1838.998556137085
91,1329,1710.2570533752441,1818.0904388427734
92,1328,1697.8044509887695,1810.2562427520752
93,1327,1681.2756061553955,1787.1332168579102
94,1326,1697.5750923156738,1810.2223873138428
95,1325,1675.1306056976318,1783.67018699646
96,1324,1697.014331817627,1814.1939640045166
97,1323,1677.1912574768066,1787.0917320251465
98,1322,1680.3216934204102,1796.7991828918457
99,1321,1667.907476425171,1776.4110565185547
100,1320,1670.792818069458,1787.1053218841553
101,1319,1680.0589561462402,1785.0887775421143
102,1318,1664.1452312469482,1778.8221836090088
103,1317,1651.8912315368652,1757.5149536132812
104,1316,1671.222448348999,1781.5077304840088
105,1315,1665.1957035064697,1768.8584327697754
106,1314,1665.1253700256348,1777.350902557373
107,1313,1666.2476062774658,1771.9769477844238
108,1312,1663.0985736846924,1774.488925933838
109,1311,1671.9763278961182,1777.6854038238525
110,1310,1658.7860584259033,1769.5748805999756
111,1309,1656.4347743988037,1760.6043815612793
112,1308,1648.5404968261719,1759.5124244689941
113,1307,1643.4173583984375,1747.5075721740723
114,1306,1670.7587242126465,1782.5677394866943
115,1305,1652.3103713989258,1756.2429904937744
116,1304,1645.9143161773682,1756.3824653625488
117,1303,1645.8828449249268,1748.7404346466064
118,1302,1634.9740028381348,1747.5314140319824
119,1301,1637.484073638916,1743.640661239624
120,1300,1640.2344703674316,1751.875877380371
121,1299,1644.197702407837,1752.1436214447021
122,1298,1639.2929553985596,1752.8719902038574
123,1297,1634.9773406982422,1740.851640701294
124,1296,1633.3281993865967,1742.4871921539307
125,1295,1631.6325664520264,1736.1013889312744
126,1294,1630.5387020111084,1738.9140129089355
127,1293,1633.2740783691406,1736.9756698608398
128,1292,1635.6861591339111,1746.2351322174072
129,1291,1625.7288455963135,1736.0341548919678
130,1290,1633.711338043213,1750.5173683166504
131,1289,1634.8767280578613,1737.4670505523682
132,1288,1641.8116092681885,1750.4703998565674
133,1287,1627.2752285003662,1733.0660820007324
